time,A1,A2,A3,A4,B1,B2,B3,B4
0,0.050,0.052,0.049,0.051,0.050,0.051,0.049,0.052
1,0.061,0.063,0.059,0.062,0.057,0.058,0.056,0.059
2,0.083,0.086,0.081,0.084,0.068,0.070,0.067,0.069
3,0.129,0.133,0.126,0.131,0.086,0.089,0.084,0.087
4,0.221,0.228,0.216,0.224,0.118,0.122,0.115,0.120
5,0.382,0.395,0.374,0.389,0.169,0.176,0.165,0.172
6,0.612,0.628,0.603,0.621,0.248,0.258,0.242,0.251
7,0.822,0.839,0.812,0.831,0.356,0.369,0.348,0.361
8,0.951,0.966,0.943,0.960,0.482,0.497,0.474,0.489
9,1.015,1.028,1.009,1.023,0.603,0.617,0.594,0.610
10,1.048,1.059,1.042,1.054,0.704,0.716,0.696,0.710
